"GEO_ID","NAME","B25031_001E","B25031_001M","B25031_002E","B25031_002M","B25031_003E","B25031_003M","B25031_004E","B25031_004M","B25031_005E","B25031_005M","B25031_006E","B25031_006M","B25031_007E","B25031_007M",
"Geography","Geographic Area Name","Estimate!!Median gross rent --!!Total","Margin of Error!!Median gross rent --!!Total","Estimate!!Median gross rent --!!Total!!No bedroom","Margin of Error!!Median gross rent --!!Total!!No bedroom","Estimate!!Median gross rent --!!Total!!1 bedroom","Margin of Error!!Median gross rent --!!Total!!1 bedroom","Estimate!!Median gross rent --!!Total!!2 bedrooms","Margin of Error!!Median gross rent --!!Total!!2 bedrooms","Estimate!!Median gross rent --!!Total!!3 bedrooms","Margin of Error!!Median gross rent --!!Total!!3 bedrooms","Estimate!!Median gross rent --!!Total!!4 bedrooms","Margin of Error!!Median gross rent --!!Total!!4 bedrooms","Estimate!!Median gross rent --!!Total!!5 or more bedrooms","Margin of Error!!Median gross rent --!!Total!!5 or more bedrooms",
"8600000US00952","ZCTA5 00952","518","121","-","**","-","**","494","34","629","79","-","**","-","**",
"8600000US00953","ZCTA5 00953","629","31","-","**","470","300","436","110","654","54","861","103","-","**",
"8600000US00956","ZCTA5 00956","571","28","398","53","400","72","519","33","671","47","865","194","854","72",
"8600000US00957","ZCTA5 00957","529","46","325","16","380","75","474","119","638","57","778","110","-","**",
"8600000US00959","ZCTA5 00959","597","31","357","321","271","95","539","44","798","62","809","55","-","**",
"8600000US00960","ZCTA5 00960","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US00961","ZCTA5 00961","549","50","423","14","451","104","502","51","736","74","735","273","-","**",
"8600000US00962","ZCTA5 00962","415","59","-","**","198","123","273","181","585","96","-","**","-","**",
"8600000US00965","ZCTA5 00965","501","78","-","**","-","**","445","116","530","143","1006","341","-","**",
"8600000US00966","ZCTA5 00966","771","120","-","**","793","304","442","345","950","566","1922","1670","-","**",
"8600000US00968","ZCTA5 00968","895","71","-","**","-","**","931","94","1213","964","-","**","-","**",
"8600000US00969","ZCTA5 00969","848","195","372","211","293","57","357","130","1152","92","2103","1059","-","**",
"8600000US00971","ZCTA5 00971","580","147","-","**","119","31","484","137","741","46","1037","585","-","**",
"8600000US00976","ZCTA5 00976","546","43","368","127","302","110","482","33","686","67","831","453","-","**",
"8600000US00979","ZCTA5 00979","876","126","643","73","797","253","989","155","833","184","-","**","-","**",
"8600000US00982","ZCTA5 00982","582","68","348","164","450","255","558","83","671","45","748","252","-","**",
"8600000US00983","ZCTA5 00983","557","38","446","189","329","147","559","45","699","92","796","122","-","**",
"8600000US00985","ZCTA5 00985","553","52","-","**","464","88","415","335","622","64","782","134","-","**",
"8600000US00987","ZCTA5 00987","715","69","364","305","422","180","432","73","821","49","865","100","-","**",
"8600000US01001","ZCTA5 01001","1093","71","1336","922","955","205","1081","62","1137","80","1335","180","-","**",
"8600000US01002","ZCTA5 01002","1316","78","839","144","1030","86","1316","74","1900","254","1965","299","1422","1337",
"8600000US01003","ZCTA5 01003","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01005","ZCTA5 01005","926","54","-","**","905","71","1268","594","-","**","-","**","-","**",
"8600000US01007","ZCTA5 01007","979","119","310","119","501","260","980","92","1408","82","-","**","-","**",
"8600000US01008","ZCTA5 01008","1675","162","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01009","ZCTA5 01009","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01010","ZCTA5 01010","1043","371","-","**","628","454","875","518","1370","259","-","**","-","**",
"8600000US01011","ZCTA5 01011","975","225","-","**","805","379","950","180","1213","549","-","**","-","**",
"8600000US01012","ZCTA5 01012","1250","224","-","**","-","**","-","**","1125","501","-","**","-","**",
"8600000US01013","ZCTA5 01013","899","44","701","238","728","42","965","42","1043","54","958","185","970","576",
"8600000US01020","ZCTA5 01020","924","53","-","**","695","89","980","49","1173","77","1357","43","-","**",
"8600000US01022","ZCTA5 01022","1198","325","-","**","-","**","975","142","1449","267","-","**","-","**",
"8600000US01026","ZCTA5 01026","857","43","-","**","806","181","-","**","979","502","-","**","-","**",
"8600000US01027","ZCTA5 01027","985","48","868","470","850","56","1062","78","1300","144","1158","138","-","**",
"8600000US01028","ZCTA5 01028","930","243","1917","1165","648","110","732","380","1372","72","1155","436","-","**",
"8600000US01029","ZCTA5 01029","695","263","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01030","ZCTA5 01030","903","146","592","48","800","140","1062","101","1132","539","-","**","-","**",
"8600000US01031","ZCTA5 01031","904","205","-","**","634","74","843","337","1095","134","-","**","-","**",
"8600000US01032","ZCTA5 01032","1094","494","-","**","725","373","-","**","-","**","-","**","-","**",
"8600000US01033","ZCTA5 01033","809","252","-","**","703","219","1264","422","-","**","-","**","-","**",
"8600000US01034","ZCTA5 01034","1292","316","-","**","617","138","1397","39","1156","789","-","**","-","**",
"8600000US01035","ZCTA5 01035","1174","179","-","**","904","164","1272","151","1537","432","-","**","-","**",
"8600000US01036","ZCTA5 01036","1105","92","-","**","427","161","1190","150","1201","520","2181","144","-","**",
"8600000US01037","ZCTA5 01037","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01038","ZCTA5 01038","1113","100","-","**","-","**","1083","145","1121","384","1385","1021","-","**",
"8600000US01039","ZCTA5 01039","1077","177","-","**","850","102","1121","99","1667","189","-","**","-","**",
"8600000US01040","ZCTA5 01040","818","24","674","91","589","94","884","29","974","57","856","466","871","139",
"8600000US01050","ZCTA5 01050","975","83","-","**","923","429","988","187","1125","303","-","**","-","**",
"8600000US01053","ZCTA5 01053","1098","240","-","**","998","623","-","**","-","**","-","**","-","**",
"8600000US01054","ZCTA5 01054","1174","206","-","**","-","**","1045","278","1469","515","1625","241","-","**",
"8600000US01056","ZCTA5 01056","999","72","-","**","781","56","1048","73","1199","171","954","564","-","**",
"8600000US01057","ZCTA5 01057","835","138","-","**","766","90","872","170","981","108","-","**","-","**",
"8600000US01060","ZCTA5 01060","1175","69","916","314","953","42","1329","46","1624","217","793","685","1893","759",
"8600000US01062","ZCTA5 01062","934","50","903","473","-","**","974","48","1208","372","-","**","-","**",
"8600000US01063","ZCTA5 01063","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01066","ZCTA5 01066","-","**","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01068","ZCTA5 01068","1225","521","-","**","-","**","1175","609","1200","742","-","**","-","**",
"8600000US01069","ZCTA5 01069","859","208","-","**","680","126","1037","103","1171","385","-","**","-","**",
"8600000US01070","ZCTA5 01070","850","552","-","**","539","54","1146","289","-","**","-","**","-","**",
"8600000US01071","ZCTA5 01071","855","337","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01072","ZCTA5 01072","1515","320","-","**","-","**","1148","96","1853","193","-","**","-","**",
"8600000US01073","ZCTA5 01073","1010","154","-","**","1125","390","932","133","-","**","-","**","-","**",
"8600000US01074","ZCTA5 01074","1177","122","-","**","-","**","-","**","-","**","-","**","-","**",
"8600000US01075","ZCTA5 01075","960","26","929","155","795","89","1015","83","1169","282","1580","294","-","**",
